Title,genres,rating,topcast,details
Slash: Raised on the Sunset Strip (2014) ,Documentary Biography Music ,6.9,"Martyn Atkins, Martyn Atkins, Steven Adler"," Country: USA  Language: English  Release Date: 29 October 2014 (USA)             Production Co:  Audience Network, Guitar Center Films                    Runtime: 71 min  Color: Color (HD)    "
49 лет (2005) ,Documentary Biography ,8.2,"Michael Apted, Paul Almond, Bruce Balden"," Official Sites: PBS [United States]    Country: UK  Language: English  Release Date: 15 September 2005 (UK)             Also Known As: 49 лет                 Opening Weekend USA: $53,277, 8 October 2006  Gross USA: $241,772         Cumulative Worldwide Gross: $696,975         Production Co:  Granada Television                    Runtime: 180 min             (2 parts)           , 134 min             (DVD)      Color: Color  Aspect Ratio: 1.33 : 1     "
Aretha Franklin: Soul Sister (2020) ,Documentary Biography ,7.4,"France Swimberge, France Swimberge, Aretha Franklin", Country: France  Language: French  Release Date: 4 September 2020 (France)             Production Co:  Program 33                    Runtime: 52 min  Color: Color  Aspect Ratio: 16 : 9     
John Denver: Country Boy (2013) ,Documentary Biography Music ,7.1,"Steve Freer, Natasha Pyne, John Denver"," Country: UK  Language: English  Release Date: 23 November 2013 (UK)             Filming Locations: Monterey, California, USA  Production Co:  Telesgop, British Broadcasting Corporation (BBC)                    Runtime: 60 min  Color: Color "
Heidi Fleiss: Hollywood Madam (1995) ,Documentary Biography ,6.5,"Nick Broomfield, Nick Broomfield, Nina Xining Zuo"," Official Sites: Nick Broomfield    Country: UK , Germany , USA , Canada  Language: English  Release Date: 27 December 1995 (UK)             Opening Weekend USA: $14,321, 11 February 1996  Gross USA: $34,402         Cumulative Worldwide Gross: $34,402         Production Co:  British Broadcasting Corporation (BBC), Canadian Broadcasting Corporation (CBC), Cinemax Reel Life                    Runtime: 106 min  Sound Mix: Stereo  Color: Color  Aspect Ratio: 4:3     "
"Ингмар Бергман - 3 документальных фильма Мари Нюрерёд о кино, театре, Форё и жизни (2004) ",Documentary Biography ,7.8,"Marie Nyreröd, Ingmar Bergman, Erland Josephson"," Official Sites: SVT [Sweden]    Country: Sweden , Denmark , Norway , Finland  Language: Swedish  Release Date: 8 April 2004 (Sweden)             Also Known As: Ингмар Бергман - 3 документальных фильма Мари Нюрерёд о кино, театре, Форё и жизни                 Filming Locations: Fårö, Gotlands län, Sweden           Budget:SEK500,000             (estimated)  Production Co:  Sveriges Television (SVT), Svensk Filmindustri (SF), Danmarks Radio (DR)                    Runtime: 174 min  Sound Mix: Stereo  Color: Color ,  Black and White  Aspect Ratio: 1.78 : 1     "
КидПокер (2015) ,Documentary Biography Sport ,6.7,"Gary Davis, Francine Watson, Daniel Negreanu", Country: UK  Language: English  Release Date: 1 June 2016 (UK)             Also Known As: КидПокер                 Production Co:  Pokerstars                    Runtime: 89 min  Sound Mix: Stereo  Color: Color  Aspect Ratio: 16:9 HD     
Python Night: 30 Years of Monty Python (1999) ,Documentary Biography Comedy ,8.2,"Terry Jones, Elaine Shepherd, Graham Chapman"," Country: UK  Language: English  Release Date: 8 October 1999 (UK)             Production Co:  A+E Networks, British Broadcasting Corporation (BBC), Python (Monty) Pictures                    Runtime: 125 min  Sound Mix: Mono  Color: Color  Aspect Ratio: 1.33 : 1     "
Великая идея Эйнштейна (2005) ,Documentary Biography Drama ,7.9,"Gary Johnstone, David Bodanis, Gary Johnstone"," Official Sites: Channel 4 [UK] , PBS [United States]    Country: USA , France , Germany , UK  Language: English  Release Date: 18 August 2005 (UK)             Also Known As: Великая идея Эйнштейна                 Filming Locations: England, UK           Production Co:  Channel 4 Television Corporation, Norddeutscher Rundfunk (NDR), Tétra Média                    Runtime: 120 min  Sound Mix: Stereo  Color: Color "
Desperately Seeking Seka (2002) ,Documentary Biography ,6.2,"Christian Hallman, Magnus Paulsson, Christian Hallman"," Official Sites: Official website [Sweden]    Country: Sweden  Language: English  Release Date: 1 August 2002 (Sweden)             Filming Locations: Chicago, Illinois, USA           Production Co:  Grindhouse Pictures, Planet X AB                    Runtime: 83 min  Color: Color  Aspect Ratio: 1.66 : 1     "
